experience_id,index,amount,method,substance
41041,0,,smoked,DMT
41041,1,,smoked,DMT
41041,2,,smoked,Damiana
41041,3,,oral,Alcohol - Hard
41041,4,,smoked,DMT
63786,0,15 mg,insufflated,2C-B
63786,1,repeated,inhaled,Nitrous Oxide
63786,2,3 hits,smoked,DMT
63786,3,10 mg,oral,Pharms - Diazepam
63786,4,1 line,insufflated,Ketamine
41040,0,35 mg,smoked,DMT
34523,0,75 mg,smoked,DMT
53698,0,1 hit,smoked,DMT
39840,0,,smoked,DMT
24526,0,55 mg,smoked,DMT
27841,0,150 mg,oral,Moclobemide
27841,1,150 mg,oral,Moclobemide
27841,2,150 mg,oral,Moclobemide
27841,3,150 mg,oral,Moclobemide
27841,4,130 mg,oral,DMT
27841,5,80 mg,oral,DMT
27713,0,3 hits,smoked,DMT
21482,0,35 mg,smoked,DMT
20182,0,100 mg,smoked,DMT
20763,0,32.5 mg,smoked,DMT
20293,0,100 mg,smoked,DMT
19872,0,1 hit,smoked,DMT
19626,0,,smoked,DMT
19626,1,,smoked,Cannabis
12336,0,40 mg,smoked,DMT
14634,0,,smoked,DMT
12509,0,30 mg,smoked,DMT
3175,0,1 hit,smoked,DMT
2964,0,,smoked,DMT
2799,0,1 hit,smoked,DMT
2327,0,40 mg,smoked,DMT
1856,0,20 mg,oral,2C-B
1856,1,20 mg,smoked,DMT
1848,0,2 hits,smoked,DMT
1847,0,1 hit,smoked,DMT
1846,0,2 hits,oral,LSD
1846,1,,smoked,DMT
1844,0,1 hit,smoked,DMT
1840,0,3 hits,oral,DMT
118297,0,5-10 mg,smoked,DMT
116807,0,900 mg,oral,Pharms - Gabapentin
116807,1,1 glass,oral,Alcohol - Beer/Wine
116807,2,3 shots,oral,Alcohol - Hard
116807,3,10 mg,vaporized,DMT
116241,0,repeated,smoked,DMT
115976,0,50 - 75 mg,smoked,DMT
115790,0,repeated,vaporized,DMT
115566,0,35 mg,vaporized,DMT
115564,0,55 mg,vaporized,DMT
94673,0,120 mg,smoked,DMT
100618,0,1 hit,smoked,DMT
100618,1,1 hit,smoked,Cannabis
108415,0,30-60 mg,smoked,DMT
104685,0,1 hit,smoked,DMT
94973,0,,smoked,Cannabis
94973,1,repeated,smoked,DMT
92971,0,1 hit,oral,LSD
92971,1,10 mg,oral,Amphetamines
92971,2,1 hit,smoked,DMT
100203,0,20 - 45 mg,vaporized,DMT
106194,0,2 hits,smoked,DMT
109499,0,50 mg,vaporized,DMT
106202,0,2 hits,smoked,DMT
90303,0,35 mg,smoked,DMT
90303,1,,smoked,Cannabis
90303,2,100 mg,smoked,DMT
90303,3,,smoked,Cannabis
94442,0,50 mg,smoked,DMT
104062,0,1 hit,vaporized,Cannabis
104062,1,1 hit,vaporized,DMT
103747,0,repeated,smoked,Cannabis
103747,1,1 hit,smoked,DMT
92808,0,4 g,oral,Syrian Rue
92808,1,200 mg,sublingual,DMT
67505,0,45 mg,vaporized,DMT
48050,0,110 mg,oral,MDMA
48050,1,2 hits,smoked,DMT
48050,2,2 hits,smoked,Cannabis
105392,0,1 hit,smoked,DMT
105392,1,1 hit,smoked,DMT
105392,2,1 hit,smoked,DMT
105392,3,1 hit,smoked,DMT
111224,0,3 hits,,DMT
111224,1,repeated,smoked,Cannabis
105885,0,0.3 g,smoked,DMT
107909,0,repeated,smoked,DMT
114605,0,25 mg,vaporized,DMT
113624,0,33 mg,smoked,DMT
110523,0,2 hits,smoked,DMT
114513,0,repeated,vaporized,DMT
100116,0,,vaporized,Tobacco
100116,1,150 mg,vaporized,DMT
92270,0,,vaporized,Cannabis
92270,1,,vaporized,DMT
92270,2,,vaporized,Cannabis
83514,0,1 bowl,smoked,Cannabis
83514,1,1 bowl,smoked,DMT
86612,0,,smoked,DMT
86612,1,,smoked,Damiana
86612,2,,smoked,Cannabis
106805,0,50 mg,vaporized,2-Me-DMT
113630,0,3 hits,smoked,DMT
97478,0,1 bowl,smoked,DMT
108200,0,,oral,Harmaline
108200,1,3 hits,vaporized,DMT
81894,0,,oral,Cannabis
81894,1,4 tablets,oral,LSD
81894,2,,oral,Alcohol - Hard
81894,3,2 tablets,oral,LSD
81894,4,1 hit,smoked,DMT
106226,0,3 g,sublingual,Syrian Rue
106226,1,30-50 mg,smoked,DMT
99502,0,,smoked,DMT
88924,0,,smoked,DMT
88924,1,50 mg,smoked,Salvia divinorum
88924,2,40 mg,smoked,Salvia divinorum
104085,0,30 mg,,Amphetamines
104148,0,3 hits,smoked,DMT
101445,0,50 mg,smoked,DMT
112899,0,3 hits,vaporized,DMT
98631,0,20 mg,smoked,DMT
98672,0,150 mg,insufflated,MDMA
98672,1,2 hits,oral,LSD
98672,2,150 mg,oral,MDMA
105167,0,,smoked,DMT
105167,1,,smoked,Catnip
105167,2,,smoked,Tobacco
112734,0,200 mg,oral,Harmine
112734,1,150 mg,oral,Harmine
112734,2,160 mg,oral,DMT
102539,0,3 glasses,oral,Alcohol - Beer/Wine
87046,0,,smoked,Mullein
87046,1,,smoked,DMT
96585,0,,,DMT
60186,0,,smoked,DMT
95512,0,40 mg,smoked,DMT
95512,1,,smoked,Cannabis
90873,0,40 mg,smoked,DMT
86757,0,2 hits,smoked,DMT
86757,1,,smoked,Cannabis
111542,0,3 hits,smoked,DMT
104219,0,,smoked,DMT
83368,0,repeated,smoked,Cannabis
83368,1,,smoked,DMT
112299,0,,smoked,DMT
